Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,STREAM-202-0,2025-04-19,2025-05-06,Standard Class,CG-STREAM-63205,Stream-Customer-0,Corporate,Technology,Phones,427.49,4,0.2,240.97,202,2025-04-30 19:50:19,stream
2,STREAM-202-1,2025-04-29,2025-05-04,Same Day,CG-STREAM-10076,Stream-Customer-1,Consumer,Office Supplies,Storage,99.84,1,0.3,-99.96,202,2025-04-30 19:50:19,stream
3,STREAM-202-2,2025-04-09,2025-05-02,Second Class,CG-STREAM-41336,Stream-Customer-2,Consumer,Furniture,Phones,672.29,3,0.1,261.32,202,2025-04-30 19:50:19,stream
4,STREAM-202-3,2025-04-28,2025-05-08,First Class,CG-STREAM-21547,Stream-Customer-3,Home Office,Office Supplies,Storage,426.42,3,0.0,-9.59,202,2025-04-30 19:50:19,stream
5,STREAM-202-4,2025-04-08,2025-05-06,Standard Class,CG-STREAM-93506,Stream-Customer-4,Corporate,Furniture,Storage,795.13,6,0.2,-32.91,202,2025-04-30 19:50:19,stream
6,STREAM-202-5,2025-04-29,2025-05-01,Second Class,CG-STREAM-58425,Stream-Customer-5,Home Office,Furniture,Binders,72.7,7,0.2,-63.75,202,2025-04-30 19:50:19,stream
7,STREAM-202-6,2025-04-29,2025-05-07,Second Class,CG-STREAM-32423,Stream-Customer-6,Home Office,Office Supplies,Storage,85.31,1,0.0,374.21,202,2025-04-30 19:50:19,stream
8,STREAM-202-7,2025-04-29,2025-05-08,First Class,CG-STREAM-91700,Stream-Customer-7,Home Office,Technology,Phones,905.86,1,0.0,-63.32,202,2025-04-30 19:50:19,stream
9,STREAM-202-8,2025-04-09,2025-05-07,Same Day,CG-STREAM-96012,Stream-Customer-8,Home Office,Office Supplies,Chairs,459.12,1,0.1,266.02,202,2025-04-30 19:50:19,stream
10,STREAM-202-9,2025-04-10,2025-05-03,Standard Class,CG-STREAM-94821,Stream-Customer-9,Consumer,Furniture,Tables,263.2,6,0.1,376.27,202,2025-04-30 19:50:19,stream
