Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit,Batch,Timestamp,Source
1,STREAM-3-0,2025-04-04,2025-05-05,Same Day,CG-STREAM-57882,Stream-Customer-0,Consumer,Office Supplies,Tables,992.32,5,0.2,136.32,3,2025-04-30 19:33:42,stream
2,STREAM-3-1,2025-04-25,2025-05-02,Standard Class,CG-STREAM-36891,Stream-Customer-1,Consumer,Office Supplies,Tables,993.42,8,0.2,-23.69,3,2025-04-30 19:33:42,stream
3,STREAM-3-2,2025-04-15,2025-05-06,Standard Class,CG-STREAM-14109,Stream-Customer-2,Corporate,Furniture,Chairs,95.54,1,0.2,-69.1,3,2025-04-30 19:33:42,stream
4,STREAM-3-3,2025-04-09,2025-05-04,Second Class,CG-STREAM-86138,Stream-Customer-3,Consumer,Technology,Phones,977.71,1,0.3,75.29,3,2025-04-30 19:33:42,stream
5,STREAM-3-4,2025-04-11,2025-05-07,Same Day,CG-STREAM-12308,Stream-Customer-4,Consumer,Office Supplies,Storage,868.64,4,0.2,89.12,3,2025-04-30 19:33:42,stream
6,STREAM-3-5,2025-04-03,2025-05-01,Standard Class,CG-STREAM-94251,Stream-Customer-5,Home Office,Technology,Phones,69.71,5,0.3,-5.01,3,2025-04-30 19:33:42,stream
7,STREAM-3-6,2025-04-24,2025-05-08,First Class,CG-STREAM-41183,Stream-Customer-6,Consumer,Office Supplies,Binders,198.16,3,0.3,8.02,3,2025-04-30 19:33:42,stream
8,STREAM-3-7,2025-04-17,2025-05-05,Same Day,CG-STREAM-56932,Stream-Customer-7,Corporate,Technology,Chairs,657.81,8,0.3,87.68,3,2025-04-30 19:33:42,stream
9,STREAM-3-8,2025-04-04,2025-05-03,Second Class,CG-STREAM-87715,Stream-Customer-8,Consumer,Furniture,Binders,215.62,3,0.5,94.23,3,2025-04-30 19:33:42,stream
10,STREAM-3-9,2025-04-24,2025-05-07,Standard Class,CG-STREAM-98474,Stream-Customer-9,Home Office,Technology,Chairs,87.91,1,0.0,-80.6,3,2025-04-30 19:33:42,stream
